N	M	D	H	DBT	RH	HR	WS	WD	ITH	IDH	ISH	TSKY	N__0	N__30	NE_30	E__30	SE_30	S__30	SW_30	W__30	NW_30	N__45	NE_45	E__45	SE_45	S__45	SW_45	W__45	NW_45	N__60	NE_60	E__60	SE_60	S__60	SW_60	W__60	NW_60	N__90	NE_90	E__90	SE_90	S__90	SW_90	W__90	NW_90
1	1	1	0	-1.5	100	3.419	1.0	20	0.0	0.0	0.0	-8.32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2	1	1	1	-1.7	100	3.369	1.0	20	0.0	0.0	0.0	-8.56	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3	1	1	2	-1.8	100	3.345	1.0	19	0.0	0.0	0.0	-8.68	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4	1	1	3	-2.0	100	3.295	1.0	19	0.0	0.0	0.0	-8.92	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5	1	1	4	-2.0	98	3.229	1.0	19	0.0	0.0	0.0	-8.92	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
6	1	1	5	-2.1	96	3.139	1.0	18	0.0	0.0	0.0	-11.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
7	1	1	6	-2.1	94	3.073	1.0	18	0.0	0.0	0.0	-11.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8	1	1	7	-2.2	94	3.051	1.0	18	0.0	0.0	0.0	-11.39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9	1	1	8	-2.2	95	3.084	1.0	18	45.4	0.0	45.4	-11.39	45.4	45.4	45.4	45.4	45.4	45.4	45.4	45.4	45.4	45.4	45.4	45.4	45.4	45.4	45.4	45.4	45.4	45.4	45.4	45.4	45.4	45.4	45.4	45.4	45.4	45.4	45.4	45.4	45.4	45.4	45.4	45.4	45.4
10	1	1	9	-2.3	96	3.094	2.0	18	96.5	0.0	96.5	-11.51	96.5	96.5	96.5	96.5	96.5	96.5	96.5	96.5	96.5	96.5	96.5	96.5	96.5	96.5	96.5	96.5	96.5	96.5	96.5	96.5	96.5	96.5	96.5	96.5	96.5	96.5	96.5	96.5	96.5	96.5	96.5	96.5	96.5
11	1	1	10	-1.6	96	3.260	1.0	18	134.9	0.0	134.9	-10.67	134.9	134.9	134.9	134.9	134.9	134.9	134.9	134.9	134.9	134.9	134.9	134.9	134.9	134.9	134.9	134.9	134.9	134.9	134.9	134.9	134.9	134.9	134.9	134.9	134.9	134.9	134.9	134.9	134.9	134.9	134.9	134.9	134.9
12	1	1	11	-1.0	97	3.445	1.0	19	65.1	1.0	64.1	-7.71	65.1	64.1	64.1	65.0	66.3	66.9	66.3	65.0	64.1	64.1	64.1	64.9	66.7	67.5	66.7	64.8	64.1	64.1	64.1	64.7	67.0	67.9	66.9	64.6	64.1	64.1	64.1	64.2	66.8	67.9	66.7	64.1	64.1
13	1	1	12	-0.3	98	3.666	1.0	19	58.2	0.0	58.2	-6.86	58.2	58.2	58.2	58.2	58.2	58.2	58.2	58.2	58.2	58.2	58.2	58.2	58.2	58.2	58.2	58.2	58.2	58.2	58.2	58.2	58.2	58.2	58.2	58.2	58.2	58.2	58.2	58.2	58.2	58.2	58.2	58.2	58.2
14	1	1	13	-0.2	98	3.694	1.0	19	40.7	0.0	40.7	-6.74	40.7	40.7	40.7	40.7	40.7	40.7	40.7	40.7	40.7	40.7	40.7	40.7	40.7	40.7	40.7	40.7	40.7	40.7	40.7	40.7	40.7	40.7	40.7	40.7	40.7	40.7	40.7	40.7	40.7	40.7	40.7	40.7	40.7
15	1	1	14	0.0	99	3.789	1.0	20	18.6	0.0	18.6	-6.50	18.6	18.6	18.6	18.6	18.6	18.6	18.6	18.6	18.6	18.6	18.6	18.6	18.6	18.6	18.6	18.6	18.6	18.6	18.6	18.6	18.6	18.6	18.6	18.6	18.6	18.6	18.6	18.6	18.6	18.6	18.6	18.6	18.6
16	1	1	15	0.1	100	3.856	2.0	20	0.0	0.0	0.0	-6.38	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
17	1	1	16	0.0	100	3.829	1.0	19	0.0	0.0	0.0	-6.50	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
18	1	1	17	-0.1	100	3.801	1.0	18	0.0	0.0	0.0	-6.62	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
19	1	1	18	-0.2	100	3.773	1.0	17	0.0	0.0	0.0	-6.74	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
20	1	1	19	-0.2	100	3.773	1.0	17	0.0	0.0	0.0	-6.74	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
21	1	1	20	-0.2	100	3.773	1.0	16	0.0	0.0	0.0	-6.74	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
